,EURUSD=X,GBPUSD=X,AUDUSD=X,NZDUSD=X,JPY=X,EURJPY=X
2010-01-01,1.43899,1.61329,0.89847,0.72448,92.92,133.71001
2010-01-04,1.4424,1.61137,0.91249,0.73421,92.495,133.39
2010-01-05,1.4366,1.59908,0.91183,0.73378,91.585,131.53
2010-01-06,1.4404,1.60238,0.92047,0.73801,92.356,133.013
2010-01-07,1.4318,1.5934,0.91777,0.73271,93.39,133.748
2010-01-08,1.44111,1.60241,0.92507,0.73708,92.66,133.49001
2010-01-11,1.45113,1.61129,0.92971,0.742,92.092,133.62
2010-01-12,1.44766,1.61517,0.92047,0.73839,91.08,131.84
2010-01-13,1.45239,1.62861,0.92421,0.7403,91.433,132.74001
2010-01-14,1.44999,1.6334,0.93136,0.74239,91.267,132.33
2010-01-15,1.4391,1.627,0.92268,0.73839,90.75,130.57001
2010-01-18,1.44067,1.6353,0.92739,0.7408,90.705,130.64999
2010-01-19,1.4281,1.63567,0.92259,0.73362,91.199,130.22
2010-01-20,1.41103,1.62981,0.91149,0.72181,91.192,128.67
2010-01-21,1.4097,1.62051,0.90457,0.71362,90.393,127.46
2010-01-22,1.41411,1.61101,0.90123,0.70998,89.81,127.03
2010-01-25,1.41501,1.62501,0.90498,0.71429,90.415,127.92
2010-01-26,1.40823,1.6147,0.90017,0.70791,89.63,126.2
2010-01-27,1.4031,1.61781,0.8963,0.70651,89.95,126.208
2010-01-28,1.3968,1.61431,0.89358,0.70482,89.778,125.387
2010-01-29,1.38669,1.59849,0.88433,0.7019,90.27,125.16
2010-02-01,1.3927,1.59525,0.89198,0.70902,90.76,126.373
2010-02-02,1.39762,1.59921,0.88731,0.71362,90.428,126.35
2010-02-03,1.39011,1.592,0.88222,0.6992,90.84,126.247
2010-02-04,1.37449,1.57699,0.86896,0.6888,89.41,122.87
2010-02-05,1.36801,1.5658,0.86858,0.68989,89.22,121.97
2010-02-08,1.36547,1.55761,0.86348,0.68292,89.22,121.811
2010-02-09,1.37821,1.56939,0.8775,0.69531,89.768,123.71
2010-02-10,1.37533,1.56121,0.87681,0.69459,89.93,123.631
2010-02-11,1.36818,1.5702,0.89023,0.69789,89.81,122.882
2010-02-12,1.36349,1.56981,0.88928,0.69818,89.95,122.63
2010-02-15,1.3603,1.56671,0.88928,0.6975,90.05,122.464
2010-02-16,1.37671,1.57901,0.90131,0.70641,90.244,124.222
2010-02-17,1.36069,1.56821,0.89871,0.70279,91.05,123.888
2010-02-18,1.34615,1.54231,0.88968,0.69531,91.977,123.83
2010-02-19,1.36151,1.54641,0.90001,0.69979,91.54,124.62
2010-02-22,1.36056,1.54866,0.90017,0.70171,91.235,124.125
2010-02-23,1.3527,1.54459,0.89278,0.69512,90.16,121.951
2010-02-24,1.35432,1.54171,0.89437,0.6943,90.279,122.262
2010-02-25,1.3536,1.52439,0.88652,0.6907,89.27,120.858
2010-02-26,1.3631,1.5239,0.8959,0.69871,88.921,121.22
2010-03-01,1.35621,1.49788,0.9005,0.69999,89.15,120.871
2010-03-02,1.36206,1.50281,0.90498,0.6973,88.74,120.883
2010-03-03,1.37016,1.5103,0.90522,0.69391,88.57,121.332
2010-03-04,1.3584,1.5036,0.89977,0.68639,89.16,121.09
2010-03-05,1.3629,1.51329,0.90794,0.6972,90.22,123.02
2010-03-08,1.36169,1.50419,0.90835,0.69984,90.286,122.94
2010-03-09,1.36069,1.50164,0.91542,0.70358,89.989,122.43
